Date,ticker,Adj_Close
2016/10/11,1101,18.79
2016/10/11,1216,43.33
2016/10/11,1301,54.96
2016/10/11,1303,42.25
2016/10/11,1326,59.87
2016/10/11,1402,16.55
2016/10/11,2002,16.34
2016/10/11,2207,293.69
2016/10/11,2301,27.56
2016/10/11,2303,7.92
2016/10/11,2308,131.44
2016/10/11,2317,71.3
2016/10/11,2327,52.63
2016/10/11,2330,150.9
2016/10/11,2345,38.49
2016/10/11,2357,163.19
2016/10/11,2379,79.82
2016/10/11,2382,42
2016/10/11,2395,159.9
2016/10/11,2412,81.31
2016/10/11,2454,161.08
2016/10/11,2603,11.1
2016/10/11,2609,8.24
2016/10/11,2615,8.99
2016/10/11,2880,9.67
2016/10/11,2881,25.25
2016/10/11,2882,28.42
2016/10/11,2883,5.6
2016/10/11,2884,9.31
2016/10/11,2885,7.22
2016/10/11,2886,14.02
2016/10/11,2887,6.49
2016/10/11,2888,5.41
2016/10/11,2890,5.86
2016/10/11,2891,11.43
2016/10/11,2892,10.25
2016/10/11,2912,182.08
2016/10/11,3008,2972.84
2016/10/11,3017,18.99
2016/10/11,3034,66.44
2016/10/11,3037,10.68
2016/10/11,3045,78.03
2016/10/11,3231,14.81
2016/10/11,4904,51.97
2016/10/11,4938,50.28
2016/10/11,5871,33.62
2016/10/11,5880,8.15
2016/10/11,6505,75.18
2016/10/12,1101,18.79
2016/10/12,1216,42.76
2016/10/12,1301,55.03
2016/10/12,1303,42.38
2016/10/12,1326,60.71
2016/10/12,1402,16.48
2016/10/12,2002,16.19
2016/10/12,2207,292.11
2016/10/12,2301,27.41
2016/10/12,2303,7.85
2016/10/12,2308,130.64
2016/10/12,2317,71.74
2016/10/12,2327,53.13
2016/10/12,2330,152.51
2016/10/12,2345,38.33
2016/10/12,2357,163.19
2016/10/12,2379,79.82
2016/10/12,2382,41.81
2016/10/12,2395,160.81
2016/10/12,2412,81.31
2016/10/12,2454,160.41
2016/10/12,2603,11.24
2016/10/12,2609,8.17
2016/10/12,2615,8.99
2016/10/12,2880,9.67
2016/10/12,2881,25.7
2016/10/12,2882,28.89
2016/10/12,2883,5.62
2016/10/12,2884,9.31
2016/10/12,2885,7.26
2016/10/12,2886,14.05
2016/10/12,2887,6.49
2016/10/12,2888,5.45
2016/10/12,2890,5.84
