Datetime,006208.TW,0050.TW,0056.TW,00919.TW,00878.TW,00631L.TW,00830.TW,0052.TW,00881.TW,00891.TW,00892.TW,00929.TW,00757.TW
2023-08-08 05:00:00+00:00,73.4000015258789,127.0,35.59000015258789,20.600000381469727,21.610000610351562,135.9499969482422,34.54999923706055,117.0,17.6200008392334,13.40999984741211,11.9399995803833,16.530000686645508,60.54999923706055
2023-08-09 01:00:00+00:00,73.6500015258789,127.4000015258789,35.65999984741211,20.549999237060547,21.65999984741211,136.75,34.27000045776367,117.6500015258789,17.639999389648438,13.479999542236328,11.989999771118164,16.549999237060547,59.900001525878906
2023-08-09 02:00:00+00:00,73.5,127.0999984741211,35.529998779296875,20.440000534057617,21.559999465942383,136.1999969482422,34.27000045776367,117.05000305175781,17.579999923706055,13.449999809265137,11.979999542236328,16.5,59.900001525878906
2023-08-09 03:00:00+00:00,73.44999694824219,127.0,35.45000076293945,20.40999984741211,21.530000686645508,135.85000610351562,34.2400016784668,117.44999694824219,17.559999465942383,13.420000076293945,11.970000267028809,16.489999771118164,59.849998474121094
2023-08-09 04:00:00+00:00,73.44999694824219,127.05000305175781,35.40999984741211,20.389999389648438,21.540000915527344,135.89999389648438,34.2599983215332,116.9000015258789,17.549999237060547,13.420000076293945,11.949999809265137,16.489999771118164,59.849998474121094
2023-08-09 05:00:00+00:00,73.55000305175781,127.19999694824219,35.36000061035156,20.360000610351562,21.510000228881836,135.89999389648438,34.290000915527344,117.0999984741211,17.540000915527344,13.430000305175781,11.960000038146973,16.469999313354492,59.900001525878906
2023-08-10 01:00:00+00:00,73.0,126.4000015258789,34.400001525878906,19.979999542236328,21.040000915527344,132.39999389648438,33.65999984741211,115.1500015258789,17.200000762939453,13.279999732971191,11.800000190734863,16.299999237060547,58.599998474121094
2023-08-10 02:00:00+00:00,73.05000305175781,126.44999694824219,34.4900016784668,19.989999771118164,21.100000381469727,132.4499969482422,33.66999816894531,115.1500015258789,17.190000534057617,13.260000228881836,11.770000457763672,16.309999465942383,58.54999923706055
2023-08-10 03:00:00+00:00,73.1500015258789,126.6500015258789,34.58000183105469,20.020000457763672,21.15999984741211,133.0,33.65999984741211,115.75,17.25,13.239999771118164,11.800000190734863,16.34000015258789,58.599998474121094
2023-08-10 04:00:00+00:00,73.0999984741211,126.5,34.40999984741211,19.959999084472656,21.059999465942383,132.5,33.65999984741211,115.1500015258789,17.190000534057617,13.229999542236328,11.789999961853027,16.309999465942383,58.5
2023-08-10 05:00:00+00:00,73.05000305175781,126.4000015258789,34.400001525878906,19.959999084472656,21.079999923706055,132.39999389648438,33.63999938964844,115.0999984741211,17.190000534057617,13.1899995803833,11.779999732971191,16.309999465942383,58.5
2023-08-11 01:00:00+00:00,73.30000305175781,126.9000015258789,34.63999938964844,20.1200008392334,21.25,133.64999389648438,33.54999923706055,115.94999694824219,17.290000915527344,13.220000267028809,11.859999656677246,16.3700008392334,58.79999923706055
2023-08-11 02:00:00+00:00,73.0999984741211,126.5,34.66999816894531,20.15999984741211,21.270000457763672,132.85000610351562,33.4900016784668,115.4000015258789,17.299999237060547,13.229999542236328,11.850000381469727,16.34000015258789,58.75
2023-08-11 03:00:00+00:00,73.05000305175781,126.5,34.599998474121094,20.1299991607666,21.219999313354492,132.75,33.45000076293945,115.4000015258789,17.270000457763672,13.229999542236328,11.859999656677246,16.31999969482422,58.650001525878906
2023-08-11 04:00:00+00:00,72.94999694824219,126.3499984741211,34.560001373291016,20.110000610351562,21.209999084472656,132.4499969482422,33.45000076293945,115.05000305175781,17.239999771118164,13.210000038146973,11.829999923706055,16.31999969482422,58.599998474121094
2023-08-11 05:00:00+00:00,73.0,126.4000015258789,34.560001373291016,20.1200008392334,21.219999313354492,132.6999969482422,33.459999084472656,115.0999984741211,17.25,13.210000038146973,11.84000015258789,16.329999923706055,58.650001525878906
2023-08-14 01:00:00+00:00,72.05000305175781,124.75,34.349998474121094,19.979999542236328,21.139999389648438,129.0500030517578,32.790000915527344,113.69999694824219,17.139999389648438,13.069999694824219,11.680000305175781,16.260000228881836,58.0
2023-08-14 02:00:00+00:00,71.8499984741211,124.25,34.209999084472656,19.90999984741211,21.040000915527344,128.1999969482422,32.650001525878906,113.5999984741211,17.09000015258789,13.050000190734863,11.649999618530273,16.260000228881836,57.900001525878906
2023-08-14 03:00:00+00:00,71.8499984741211,124.25,34.220001220703125,19.8799991607666,21.059999465942383,128.14999389648438,32.619998931884766,113.5999984741211,17.09000015258789,13.050000190734863,11.630000114440918,16.270000457763672,57.849998474121094
2023-08-14 04:00:00+00:00,71.9000015258789,124.3499984741211,34.27000045776367,19.90999984741211,21.030000686645508,128.25,32.63999938964844,113.6500015258789,17.100000381469727,13.069999694824219,11.649999618530273,16.25,57.900001525878906
2023-08-14 05:00:00+00:00,71.94999694824219,124.44999694824219,34.27000045776367,19.920000076293945,21.030000686645508,128.3000030517578,32.630001068115234,113.75,17.1200008392334,13.069999694824219,11.649999618530273,16.25,57.95000076293945
2023-08-15 01:00:00+00:00,72.4000015258789,125.30000305175781,34.93000030517578,20.200000762939453,21.450000762939453,130.75,33.81999969482422,115.0999984741211,17.360000610351562,13.199999809265137,11.729999542236328,16.40999984741211,59.400001525878906
2023-08-15 02:00:00+00:00,72.0,124.5999984741211,34.81999969482422,20.110000610351562,21.40999984741211,129.5,33.81999969482422,114.44999694824219,17.280000686645508,13.130000114440918,11.65999984741211,16.34000015258789,59.400001525878906
2023-08-15 03:00:00+00:00,72.05000305175781,124.75,34.84000015258789,20.1299991607666,21.420000076293945,129.8000030517578,33.84000015258789,114.5,17.290000915527344,13.130000114440918,11.670000076293945,16.3700008392334,59.45000076293945
2023-08-15 04:00:00+00:00,72.05000305175781,124.80000305175781,34.849998474121094,20.139999389648438,21.450000762939453,129.9499969482422,33.86000061035156,114.5,17.290000915527344,13.180000305175781,11.720000267028809,16.40999984741211,59.5
2023-08-15 05:00:00+00:00,72.05000305175781,124.69999694824219,34.83000183105469,20.139999389648438,21.440000534057617,129.8000030517578,33.880001068115234,114.44999694824219,17.280000686645508,13.170000076293945,11.710000038146973,16.389999389648438,59.54999923706055
2023-08-16 01:00:00+00:00,71.80000305175781,124.30000305175781,34.84000015258789,20.059999465942383,21.020000457763672,128.64999389648438,33.13999938964844,114.8499984741211,16.860000610351562,12.949999809265137,11.6899995803833,16.3799991607666,58.599998474121094
2023-08-16 02:00:00+00:00,71.75,124.0999984741211,34.90999984741211,20.040000915527344,21.040000915527344,128.4499969482422,33.150001525878906,114.5,16.84000015258789,12.890000343322754,11.649999618530273,16.350000381469727,58.54999923706055
2023-08-16 03:00:00+00:00,71.75,124.0,34.959999084472656,20.049999237060547,21.079999923706055,128.4499969482422,33.15999984741211,114.6500015258789,16.860000610351562,12.90999984741211,11.649999618530273,16.3799991607666,58.54999923706055
2023-08-16 04:00:00+00:00,71.5999984741211,123.8499984741211,35.04999923706055,20.1299991607666,21.18000030517578,128.5500030517578,33.13999938964844,114.55000305175781,16.899999618530273,12.890000343322754,11.630000114440918,16.440000534057617,58.54999923706055
2023-08-16 05:00:00+00:00,71.5,123.69999694824219,35.13999938964844,20.18000030517578,21.239999771118164,128.3000030517578,33.13999938964844,114.4000015258789,16.899999618530273,12.890000343322754,11.619999885559082,16.43000030517578,58.5
2023-08-17 01:00:00+00:00,71.44999694824219,123.6500015258789,35.060001373291016,20.1299991607666,21.209999084472656,128.1999969482422,32.45000076293945,114.9000015258789,16.920000076293945,12.890000343322754,11.670000076293945,16.350000381469727,57.45000076293945
2023-08-17 02:00:00+00:00,71.9000015258789,124.44999694824219,35.209999084472656,20.260000228881836,21.290000915527344,130.10000610351562,32.47999954223633,115.80000305175781,16.979999542236328,12.949999809265137,11.75,16.40999984741211,57.5
2023-08-17 03:00:00+00:00,71.8499984741211,124.19999694824219,35.16999816894531,20.209999084472656,21.25,129.85000610351562,32.5099983215332,115.44999694824219,16.959999084472656,12.949999809265137,11.75,16.399999618530273,57.5
2023-08-17 04:00:00+00:00,71.94999694824219,124.4000015258789,35.29999923706055,20.31999969482422,21.309999465942383,130.35000610351562,32.5099983215332,115.80000305175781,17.040000915527344,13.0,11.770000457763672,16.469999313354492,57.54999923706055
2023-08-17 05:00:00+00:00,71.9000015258789,124.5,35.33000183105469,20.309999465942383,21.34000015258789,130.35000610351562,32.5099983215332,115.9000015258789,17.020000457763672,12.970000267028809,11.75,16.459999084472656,57.54999923706055
2023-08-18 01:00:00+00:00,72.0,124.6500015258789,35.33000183105469,20.440000534057617,21.3700008392334,130.6999969482422,32.209999084472656,115.69999694824219,17.0,12.989999771118164,11.779999732971191,16.479999542236328,56.599998474121094
2023-08-18 02:00:00+00:00,71.6500015258789,124.0,35.099998474121094,20.25,21.149999618530273,129.14999389648438,32.189998626708984,114.55000305175781,16.889999389648438,12.970000267028809,11.720000267028809,16.399999618530273,56.54999923706055
2023-08-18 03:00:00+00:00,71.5999984741211,123.94999694824219,34.86000061035156,20.149999618530273,21.010000228881836,128.64999389648438,32.16999816894531,114.5999984741211,16.770000457763672,12.949999809265137,11.729999542236328,16.350000381469727,56.5
2023-08-18 04:00:00+00:00,71.5,123.8499984741211,34.779998779296875,20.09000015258789,21.0,128.1999969482422,32.16999816894531,114.25,16.75,12.930000305175781,11.6899995803833,16.329999923706055,56.45000076293945
2023-08-18 05:00:00+00:00,71.5,123.80000305175781,34.86000061035156,20.139999389648438,21.049999237060547,128.3000030517578,32.150001525878906,114.4000015258789,16.799999237060547,12.90999984741211,11.6899995803833,16.31999969482422,56.400001525878906
2023-08-21 01:00:00+00:00,71.3499984741211,123.5,34.83000183105469,20.0,21.049999237060547,128.3000030517578,32.310001373291016,114.0999984741211,16.739999771118164,12.880000114440918,11.619999885559082,16.350000381469727,56.70000076293945
