Date,ticker,Adj_Close,Log_Return,Annualized_Vol
2017-10-31,1101,18.19,-0.008757581970548411,0.11166260352769308
2017-11-30,1101,18.22,0.0016478993017812922,0.10830409717913252
2017-12-31,1101,19.79,0.08265686778266201,0.1279091001260549
2018-01-31,1101,20.44,0.03231700572102951,0.131738861213638
2018-02-28,1101,20.09,-0.01727158650866071,0.11778378387053584
2018-03-31,1101,19.85,-0.012018171693643512,0.1126836068334574
2018-04-30,1101,22.18,0.11098697478902154,0.1544954974784391
2018-05-31,1101,23.68,0.06543982809358397,0.16660146533529196
2018-06-30,1101,23.0,-0.029136594086655254,0.16761209497595733
2018-07-31,1101,24.32,0.0558048411688165,0.1729756364022588
2018-08-31,1101,26.17,0.07331465944408838,0.18781131336109283
2018-09-30,1101,25.4,-0.029864542517563708,0.18769452014283036
2018-10-31,1101,21.44,-0.16949083782188953,0.2527443011330671
2018-11-30,1101,21.32,-0.005612736904957548,0.25280124406081944
2018-12-31,1101,22.0,0.03139685406067207,0.24096073051840763
2019-01-31,1101,23.08,0.047923988281582945,0.2435454648438458
2019-02-28,1101,23.73,0.027773628807773478,0.24451474434608383
2019-03-31,1101,25.49,0.07154614794035176,0.2544835457094929
2019-04-30,1101,25.95,0.017885391223873504,0.2297034037259519
2019-05-31,1101,26.51,0.02135041068903659,0.22121736509361187
2019-06-30,1101,28.46,0.07097757236077216,0.23049077483105151
2019-07-31,1101,27.62,-0.02995944468056019,0.22563108232224838
2019-08-31,1101,27.5,-0.004354143308620503,0.21343220137659302
2019-09-30,1101,28.35,0.030441025501235553,0.21351362888172282
2019-10-31,1101,28.93,0.020252088814282625,0.131419453331756
2019-11-30,1101,29.6,0.022895242341971125,0.13328076387967963
2019-12-31,1101,31.25,0.05424501485239577,0.1404297732383714
2020-01-31,1101,30.07,-0.03849137918197282,0.13749690480260826
2020-02-29,1101,30.21,0.0046449983981429795,0.13474271922172376
2020-03-31,1101,28.25,-0.06707953780613067,0.13242512409073173
2020-04-30,1101,30.89,0.08933904933804045,0.15873875395705836
2020-05-31,1101,30.43,-0.015003543021610662,0.15801031065867288
2020-06-30,1101,30.57,0.0045901719938634174,0.14124628198701342
2020-07-31,1101,32.18,0.05132600566149401,0.14726609489882958
2020-08-31,1101,34.05,0.05648489103128421,0.15766701321968118
2020-09-30,1101,32.86,-0.03557391998639933,0.15873794381699352
2020-10-31,1101,32.18,-0.020910971044884874,0.15882334971894219
2020-11-30,1101,34.05,0.05648489103128421,0.16700660827902553
2020-12-31,1101,34.28,0.0067320611340578075,0.15809492787448917
2021-01-31,1101,31.86,-0.07321078924767667,0.16991833217924796
2021-02-28,1101,33.33,0.04510658783774578,0.17574204922790324
2021-03-31,1101,37.14,0.10823666360491146,0.1951942079644307
2021-04-30,1101,41.35,0.10737786554514056,0.2040816481099339
2021-05-31,1101,40.95,-0.009720611170621814,0.2037613875924386
2021-06-30,1101,40.47,-0.011790851411304296,0.2040506250215034
2021-07-31,1101,41.74,0.030898942761280607,0.1998925795978114
2021-08-31,1101,41.16,-0.013992990683205982,0.19225583021513706
2021-09-30,1101,43.33,0.05137832478596918,0.19579717241657346
2021-10-31,1101,40.99,-0.05551710123557171,0.2024386636635554
2021-11-30,1101,39.08,-0.04771730734166434,0.20016945583931858
2021-12-31,1101,40.78,0.04258093797172719,0.20453759234538843
2022-01-31,1101,39.81,-0.024073628134083255,0.1924976534706818
2022-02-28,1101,40.23,0.010494848949470833,0.18743234560722602
2022-03-31,1101,42.4,0.052535376276215254,0.16178898167671177
2022-04-30,1101,39.0,-0.08358671610826557,0.14707959645280808
2022-05-31,1101,36.19,-0.0747788085539954,0.1647112249360849
2022-06-30,1101,33.56,-0.07544795597664548,0.18078483759429584
2022-07-31,1101,37.11,0.10055159347350079,0.20454592587067386
2022-08-31,1101,37.63,0.013915129532839758,0.20454061413799124
2022-09-30,1101,32.37,-0.15056953666719305,0.248733423460353
2022-10-31,1101,28.97,-0.11097125615689392,0.2666473084614685
2022-11-30,1101,32.46,0.11374775030518611,0.28594124639390106
2022-12-31,1101,32.22,-0.007421184337616928,0.2828503740278921
2023-01-31,1101,34.71,0.07444045212486673,0.29148958030903077
2023-02-28,1101,37.49,0.07704640087412579,0.3013174098221329
2023-03-31,1101,34.86,-0.07273419065594584,0.30548727991818436
2023-04-30,1101,37.06,0.061198180765339005,0.3001348970230461
2023-05-31,1101,36.29,-0.02099599963223487,0.29142738066769935
2023-06-30,1101,36.44,0.004124851166778567,0.2815218260436132
2023-07-31,1101,36.21,-0.006331748614207657,0.2630285281664021
2023-08-31,1101,33.93,-0.06503574498141101,0.27059198791678074
2023-09-30,1101,32.28,-0.04985173539439072,0.23029119408786425
2023-10-31,1101,31.31,-0.030510308063433772,0.2040840348471703
2023-11-30,1101,33.93,0.08036204345782443,0.18753613147531684
2023-12-31,1101,33.83,-0.0029515960035216868,0.18741248237703492
2024-01-31,1101,30.97,-0.08832898880750563,0.19334960021144162
2024-02-29,1101,31.16,0.006116227017436054,0.17744105569793206
2024-03-31,1101,31.21,0.00160333528014056,0.16185683933909528
2024-04-30,1101,31.11,-0.0032092453731425003,0.14987567637118315
2024-05-31,1101,32.04,0.029455811290612737,0.15129286561484317
2024-06-30,1101,33.2,0.03556475372228447,0.1553620561660075
2024-07-31,1101,34.65,0.04274784971346926,0.16101135398083424
2024-08-31,1101,32.95,-0.05030646468739586,0.15564622827039076
2024-09-30,1101,33.8,0.025469541540456626,0.14963037926586728
2024-10-31,1101,32.5,-0.03922071315328127,0.15164641717288815
2017-10-31,1216,46.79,0.001497166358153259,0.21292962643941782
2017-11-30,1216,47.31,0.011052184764931782,0.17993388034357674
2017-12-31,1216,49.02,0.03550668845690982,0.18226021330592238
2018-01-31,1216,51.99,0.05882301429565789,0.19150604384657394
2018-02-28,1216,51.25,-0.014335774377106937,0.19098176888588114
2018-03-31,1216,51.25,0.0,0.18645532534199916
2018-04-30,1216,53.18,0.03696676779635623,0.18888396955978293
2018-05-31,1216,54.29,0.020657662102485964,0.17414719909270737
2018-06-30,1216,57.49,0.057270971717839875,0.18270887013534845
2018-07-31,1216,60.01,0.04290019536622188,0.17978984607460757
2018-08-31,1216,61.96,0.03197780054724647,0.11576153519065767
2018-09-30,1216,63.64,0.026753187920918256,0.11705880291017837
2018-10-31,1216,59.8,-0.0622365425130001,0.13256662119716436
2018-11-30,1216,57.65,-0.036615414241518054,0.13708554565537623
2018-12-31,1216,55.73,-0.03387164513362307,0.13667117562424888
2019-01-31,1216,57.41,0.029699902598100427,0.12688950882568564
2019-02-28,1216,59.88,0.04212405537188226,0.13292805973159258
2019-03-31,1216,59.72,-0.002675586880438011,0.13295498422082797
2019-04-30,1216,58.61,-0.01876164218265174,0.12908324881734562
2019-05-31,1216,64.91,0.10209636455703927,0.16327710732819875
2019-06-30,1216,66.03,0.017107489161102874,0.15385745273257245
2019-07-31,1216,64.51,-0.02328893366232959,0.14957962237559017
2019-08-31,1216,63.11,-0.021941014948002234,0.14775957444149984
2019-09-30,1216,61.63,-0.02373047062199638,0.147242296950104
