Date,ticker,Beta
2016-11-22,1101,1.3994253289562892
2016-11-23,1101,1.3956105522458575
2016-11-24,1101,1.3717195508123863
2016-11-25,1101,1.436073182281386
2016-11-28,1101,1.4251071618404452
2016-11-29,1101,1.4300292261155376
2016-11-30,1101,1.3884324445919338
2016-12-01,1101,1.4145644596022504
2016-12-02,1101,1.3838788305597434
2016-12-05,1101,1.3868005415148954
2016-12-06,1101,1.3536124225592534
2016-12-07,1101,1.3582297870445452
2016-12-08,1101,1.4152137639517557
2016-12-09,1101,1.412630628534651
2016-12-12,1101,1.4072770038141096
2016-12-13,1101,1.3930670240994991
2016-12-14,1101,1.343520063034777
2016-12-15,1101,1.3582291436967124
2016-12-16,1101,1.369358539737774
2016-12-19,1101,1.3295088265006723
2016-12-20,1101,1.3212665286518352
2016-12-21,1101,1.4867662201553025
2016-12-22,1101,1.2316322176961214
2016-12-23,1101,1.5920547253158497
2016-12-26,1101,1.5604062995358678
2016-12-27,1101,1.5527124226078843
2016-12-28,1101,1.5654935783966804
2016-12-29,1101,1.5884079689976671
2016-12-30,1101,1.721137034657636
2017-01-03,1101,1.660652733467518
2017-01-04,1101,1.7259852677418182
2017-01-05,1101,1.6697515454038647
2017-01-06,1101,1.657669646117189
2017-01-09,1101,1.664760631243524
2017-01-10,1101,1.6784170703117174
2017-01-11,1101,1.6378632905906412
2017-01-12,1101,1.6663538798966706
2017-01-13,1101,1.663380357534304
2017-01-16,1101,1.6766131740053356
2017-01-17,1101,1.567781613245541
2017-01-18,1101,1.6320037275362989
2017-01-19,1101,1.6764772729019262
2017-01-20,1101,1.576881285575151
2017-01-23,1101,1.6875562463744649
2017-01-24,1101,1.704644520401844
2017-02-02,1101,1.7110753313497535
2017-02-03,1101,1.7622168171215398
2017-02-06,1101,1.530245236012061
2017-02-07,1101,1.505241550306306
2017-02-08,1101,1.4823105729152415
2017-02-09,1101,1.6085203803589165
2017-02-10,1101,1.9060395628731281
2017-02-13,1101,1.7585171716960586
2017-02-14,1101,1.6726658589273384
2017-02-15,1101,1.6290854182457104
2017-02-16,1101,1.654874456901877
2017-02-17,1101,1.714761995097977
2017-02-18,1101,1.723709789765349
2017-02-20,1101,1.6706222682165075
2017-02-21,1101,1.658581749204632
2017-02-22,1101,1.6483246636576752
2017-02-23,1101,1.807781468527359
2017-02-24,1101,1.8413105052364591
2017-03-01,1101,1.5859048363556745
2017-03-02,1101,1.5923470931847032
2017-03-03,1101,1.6306307984850152
2017-03-06,1101,1.5616408093529985
2017-03-07,1101,1.5504252842130648
2017-03-08,1101,1.737493703293075
2017-03-09,1101,1.8976307887081263
2017-03-10,1101,1.9438951369697774
2017-03-13,1101,1.8642800704720102
2017-03-14,1101,1.8451355613331306
2017-03-15,1101,1.7445551218974644
2017-03-16,1101,1.4621832211614678
2017-03-17,1101,1.4160558234819076
2017-03-20,1101,1.39266916260138
2017-03-21,1101,1.640691960470343
2017-03-22,1101,1.6948377230978942
2017-03-23,1101,1.6942359205081758
2017-03-24,1101,1.540758856795271
2017-03-27,1101,1.1089495095993671
2017-03-28,1101,1.184021835021246
2017-03-29,1101,1.1125449377335823
2017-03-30,1101,1.1797560091854469
2017-03-31,1101,1.2083134622095795
2017-04-05,1101,1.2917590233643348
2017-04-06,1101,1.202489127954358
2017-04-07,1101,1.144179719273301
2017-04-10,1101,1.1310598426689127
2017-04-11,1101,1.0598372276713244
2017-04-12,1101,1.0526541283737818
2017-04-13,1101,1.0296414416396547
2017-04-14,1101,1.0630713670190963
2017-04-17,1101,1.0356683352296374
2017-04-18,1101,1.03907050875079
2017-04-19,1101,0.9204648212183615
2017-04-20,1101,0.8779514658020802
2017-04-21,1101,0.6151404301563643
2017-04-24,1101,0.5145062199644703
2017-04-25,1101,0.19732548530383703
2017-04-26,1101,0.09511883101159964
2017-04-27,1101,0.06421639095007509
2017-04-28,1101,0.07283541619099894
2017-05-02,1101,0.14358020099683405
2017-05-03,1101,0.0913827564247321
2017-05-04,1101,0.09596404221418137
2017-05-05,1101,0.12790652498885907
2017-05-08,1101,0.07242842949844508
2017-05-09,1101,0.053025075555708345
2017-05-10,1101,0.09377650840886706
2017-05-11,1101,0.07337413647787774
2017-05-12,1101,0.09154285066714035
2017-05-15,1101,0.23064418969437914
2017-05-16,1101,0.1783485422290585
2017-05-17,1101,0.13646544864018686
2017-05-18,1101,-0.23628538140488217
2017-05-19,1101,-0.1629723831383675
2017-05-22,1101,-0.13346989015920843
2017-05-23,1101,-0.13724006021532653
2017-05-24,1101,-0.11005655517557561
2017-05-25,1101,-0.02500265881507782
2017-05-26,1101,-0.01866640487283744
2017-05-31,1101,-0.04920841030188719
2017-06-01,1101,-0.039273765151853796
2017-06-02,1101,0.026827885707917054
2017-06-03,1101,0.06421791832099022
2017-06-05,1101,0.050991846505797994
2017-06-06,1101,0.37046256967087465
2017-06-07,1101,0.43155300365219856
2017-06-08,1101,1.0651218371878934
2017-06-09,1101,0.9504495327581074
2017-06-12,1101,1.0194675117100127
2017-06-13,1101,1.0278653232894774
2017-06-14,1101,0.9574159440489605
2017-06-15,1101,0.9408993705611032
2017-06-16,1101,0.8335455860816723
2017-06-19,1101,0.6549895975495263
2017-06-20,1101,0.8031189612916612
2017-06-21,1101,0.8558731410930365
2017-06-22,1101,0.8593510000381007
2017-06-23,1101,0.8698261107549461
2017-06-26,1101,0.6822229064009194
2017-06-27,1101,0.6339410058720105
2017-06-28,1101,0.3971788151848673
2017-06-29,1101,0.3699894814452433
2017-06-30,1101,0.35288685575103534
2017-07-03,1101,0.32542928534817533
2017-07-04,1101,0.3083715945708573
2017-07-05,1101,0.31602889329067285
2017-07-06,1101,0.3262383373409793
