Date,ticker,CashCycle
2017-10-23,1101.0,325.4297804742462
2017-10-24,1101.0,325.58281325045016
2017-10-25,1101.0,325.7357512413282
2017-10-26,1101.0,325.8885945350332
2017-10-27,1101.0,326.0413432196084
2017-10-30,1101.0,326.193997382988
2017-10-31,1101.0,326.3465571129973
2017-11-01,1101.0,326.49902249735226
2017-11-02,1101.0,326.65139362366034
2017-11-03,1101.0,326.8036705794203
2017-11-06,1101.0,326.95585345202255
2017-11-07,1101.0,327.1079423287491
2017-11-08,1101.0,327.2599372967743
2017-11-09,1101.0,327.411838443164
2017-11-10,1101.0,327.56364585487665
2017-11-13,1101.0,327.71535961876305
2017-11-14,1101.0,327.8669798215666
2017-11-15,1101.0,328.2073620244629
2017-11-16,1101.0,328.5477343963485
2017-11-17,1101.0,328.8880969355965
2017-11-20,1101.0,329.22844964058174
2017-11-21,1101.0,329.5687925096811
2017-11-22,1101.0,329.90912554127306
2017-11-23,1101.0,330.2494487337384
2017-11-24,1101.0,330.58976208545937
2017-11-27,1101.0,330.90197964115157
2017-11-28,1101.0,331.2141280502134
2017-11-29,1101.0,331.52620733176053
2017-11-30,1101.0,331.83821750490637
2017-12-01,1101.0,332.1501585887627
2017-12-04,1101.0,332.4620306024392
2017-12-05,1101.0,332.7738335650437
2017-12-06,1101.0,333.08556749568197
2017-12-07,1101.0,333.39723241345774
2017-12-08,1101.0,333.70882833747294
2017-12-11,1101.0,334.02035528682734
2017-12-12,1101.0,334.33181328061914
2017-12-13,1101.0,334.64320233794353
2017-12-14,1101.0,334.9545224778948
2017-12-15,1101.0,335.2657737195645
2017-12-18,1101.0,335.5769560820422
2017-12-19,1101.0,335.88806958441586
2017-12-20,1101.0,336.19911424577094
2017-12-21,1101.0,336.51009008519065
2017-12-22,1101.0,336.82099712175693
2017-12-25,1101.0,337.1318353745487
2017-12-26,1101.0,337.4426048626434
2017-12-27,1101.0,337.753305605116
2017-12-28,1101.0,338.0639376210397
2017-12-29,1101.0,338.3745009294851
2018-01-02,1101.0,338.68499554952115
2018-01-03,1101.0,338.9954215002143
2018-01-04,1101.0,339.30577880062884
2018-01-05,1101.0,339.61606746982727
2018-01-08,1101.0,339.92628752686943
2018-01-09,1101.0,340.23643899081344
2018-01-10,1101.0,340.54652188071464
2018-01-11,1101.0,340.85653621562676
2018-01-12,1101.0,341.16648201460094
2018-01-15,1101.0,341.47635929668627
2018-01-16,1101.0,341.78616808092943
2018-01-17,1101.0,342.0959083863751
2018-01-18,1101.0,342.4055802320655
2018-01-19,1101.0,342.7151836370407
2018-01-22,1101.0,343.0247186203384
2018-01-23,1101.0,343.3341852009942
2018-01-24,1101.0,343.6435833980413
2018-01-25,1101.0,343.9529132305104
2018-01-26,1101.0,344.2621747174304
2018-01-29,1101.0,344.57136787782736
2018-01-30,1101.0,344.8804927307253
2018-01-31,1101.0,345.18954929514587
2018-02-01,1101.0,345.4985375901083
2018-02-02,1101.0,345.8074576346296
