Date,ticker,EP
2017-10-20,1101.0,6.7968495382944045
2017-10-23,1101.0,6.8212534059945495
2017-10-24,1101.0,6.872118551042811
2017-10-25,1101.0,6.885651456844419
2017-10-26,1101.0,6.899229074889868
2017-10-27,1101.0,6.901431718061674
2017-10-30,1101.0,6.903634361233481
2017-10-31,1101.0,6.894447498625618
2017-11-01,1101.0,6.873972602739726
2017-11-02,1101.0,6.876164383561644
2017-11-03,1101.0,6.859562841530054
2017-11-06,1101.0,6.861748633879782
2017-11-07,1101.0,6.924476295479603
2017-11-08,1101.0,6.907641561297416
2017-11-09,1101.0,6.909840571742715
2017-11-10,1101.0,6.900658616904501
2017-11-13,1101.0,6.883962780514505
2017-11-14,1101.0,6.883415435139573
2017-11-15,1101.0,6.674628450106157
2017-11-16,1101.0,6.749329039184111
2017-11-17,1101.0,6.680658873538789
2017-11-20,1101.0,6.770059235325794
2017-11-21,1101.0,6.740482573726543
2017-11-22,1101.0,6.671974522292994
2017-11-23,1101.0,6.710624666310731
2017-11-24,1101.0,6.69456289978678
2017-11-27,1101.0,6.717880085653105
2017-11-28,1101.0,6.870684931506849
2017-11-29,1101.0,6.805540467137424
2017-11-30,1101.0,6.871020856201977
2017-12-01,1101.0,6.83551912568306
2017-12-04,1101.0,6.77819956616052
2017-12-05,1101.0,6.772776572668112
2017-12-06,1101.0,6.800544959128065
2017-12-07,1101.0,6.7729494839761
2017-12-08,1101.0,6.789645776566757
2017-12-11,1101.0,6.721922246220303
2017-12-12,1101.0,6.756653992395437
2017-12-13,1101.0,6.7111231101511875
2017-12-14,1101.0,6.705723542116631
2017-12-15,1101.0,6.722101841820151
2017-12-18,1101.0,6.694924406047516
2017-12-19,1101.0,6.621592731159807
2017-12-20,1101.0,6.5986140724946685
2017-12-21,1101.0,6.593283582089551
2017-12-22,1101.0,6.474070193818753
2017-12-25,1101.0,6.290881304126337
2017-12-26,1101.0,6.241274658573596
2017-12-27,1101.0,6.271108850457782
2017-12-28,1101.0,6.266022380467955
2017-12-29,1101.0,6.219807983830218
2018-01-02,1101.0,6.195969773299748
2018-01-03,1101.0,6.0596646942800785
2018-01-04,1101.0,6.078712871287128
2018-01-05,1101.0,6.058765432098765
2018-01-08,1101.0,5.910800385728062
2018-01-09,1101.0,5.888942307692307
2018-01-10,1101.0,5.861590038314176
2018-01-11,1101.0,6.006385068762279
2018-01-12,1101.0,5.983839373163565
2018-01-15,1101.0,5.941119221411192
2018-01-16,1101.0,5.896085065248912
