Date,ticker,log_TTMSales
2017-10-20,1101.0,28.333485217373976
2017-10-23,1101.0,28.333547633662725
2017-10-24,1101.0,28.333610046055924
2017-10-25,1101.0,28.33367245455406
2017-10-26,1101.0,28.333734859157616
2017-10-27,1101.0,28.333797259867083
2017-10-30,1101.0,28.333859656682943
2017-10-31,1101.0,28.333922049605683
2017-11-01,1101.0,28.333984438635788
2017-11-02,1101.0,28.334046823773747
2017-11-03,1101.0,28.334109205020045
2017-11-06,1101.0,28.334171582375163
2017-11-07,1101.0,28.33423395583959
2017-11-08,1101.0,28.33429632541381
2017-11-09,1101.0,28.33435869109831
2017-11-10,1101.0,28.335211845402565
2017-11-13,1101.0,28.33606427245497
2017-11-14,1101.0,28.336915973494325
2017-11-15,1101.0,28.33776694975627
2017-11-16,1101.0,28.338617202473287
2017-11-17,1101.0,28.339466732874733
2017-11-20,1101.0,28.34031554218682
2017-11-21,1101.0,28.341163631632643
2017-11-22,1101.0,28.34171350714769
2017-11-23,1101.0,28.342263080465823
2017-11-24,1101.0,28.34281235191901
2017-11-27,1101.0,28.343361321838685
2017-11-28,1101.0,28.343909990555733
2017-11-29,1101.0,28.34445835840049
2017-11-30,1101.0,28.345006425702753
2017-12-01,1101.0,28.345554192791777
2017-12-04,1101.0,28.34610165999628
2017-12-05,1101.0,28.34664882764443
2017-12-06,1101.0,28.347195696063867
2017-12-07,1101.0,28.347742265581687
2017-12-08,1101.0,28.348288536524453
2017-12-11,1101.0,28.34932330605934
2017-12-12,1101.0,28.350357005952972
2017-12-13,1101.0,28.351389638414446
2017-12-14,1101.0,28.352421205646014
2017-12-15,1101.0,28.353451709843124
2017-12-18,1101.0,28.35448115319445
2017-12-19,1101.0,28.3555095378819
2017-12-20,1101.0,28.35653686608067
2017-12-21,1101.0,28.357563139959254
2017-12-22,1101.0,28.358321861089582
2017-12-25,1101.0,28.359080006998564
2017-12-26,1101.0,28.35983757855774
2017-12-27,1101.0,28.360594576636675
2017-12-28,1101.0,28.361351002102957
2017-12-29,1101.0,28.36210685582221
2018-01-02,1101.0,28.36286213865809
2018-01-03,1101.0,28.363616851472315
2018-01-04,1101.0,28.364370995124634
2018-01-05,1101.0,28.365124570472858
2018-01-08,1101.0,28.365877578372867
2018-01-09,1101.0,28.3666300196786
2018-01-10,1101.0,28.366725288549684
2018-01-11,1101.0,28.366820548345476
2018-01-12,1101.0,28.366915799067705
2018-01-15,1101.0,28.367011040718094
